upc,name,description,department,department_number,category,manufacturer,brand,is_active,cost,price,vendor,part_num,part_num_units,part_cost,child_upc,num_units
028200193506,MARLBORO BLACK M 72 BX CTN,,,,CIGARETTES > PM > MARLBORO72'S > CIG CARTONS,,,,83.2300,0,,,,,,
028200172266,B&H 100 BX FSC CTN,,,,CIGARETTES > PM > PMP > CIG CARTONS,,,,106.7400,110.75,,,,,,
028200584618,MARLBOROSP BL BLK 100 BX $5 OF,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,70.2300,0,,,,,,
028200584816,MARLBORO SP BL M BLK100 $5 OF,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,70.2300,0,,,,,,
028200194800,MARLBORO BLEND 27 100 BX CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200172907,B&H 100 BX DELUXE (ULT) FSC CTN,,,,CIGARETTES > PM > PMP > CIG CARTONS,,,,106.7400,110.75,,,,,,
028200137708,MARLBORO M 100 BX BLUE (MLD) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200142306,MARLBORO SPECIAL BLEND GOLD 100 BX CTN,,,,CIGARETTES > PM > MARLBOROSPECIAL SELECT > CIG CARTONS,,,,79.7300,0,,,,,,
028200156808,MARLBORO SPECIAL BLEND RED 100 BX CTN,,,,CIGARETTES > PM > MARLBOROSPECIAL SELECT > CIG CARTONS,,,,79.7300,0,,,,,,
028200196408,MARLBORO SP BL MEN BLK BC 100 C,,,,CIGARETTES > PM > MARLBORO BLACK > CIG CARTONS,,,,75.2300,0,,,,,,
028200195302,MARLBORO SPECIAL BLEND BLACK 100 BX CTN,,,,CIGARETTES > PM > MARLBORO BLACK > CIG CARTONS,,,,75.2300,0,,,,,,
028200148506,MARLBORO M 100 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200147806,MARLBORO 100 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200136404,MARLBORO M 100 BX (FF) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200136909,MARLBORO (MED) 100 RED BX FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200136305,MARLBORO 100 BX FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200143709,MARLBORO 100 GOLD (LT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200147103,MARLBORO M 100 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200146502,MARLBORO 100 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200130303,MARLBORO SMOOTH M 100 BX FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200301413,MERIT 100 BX BLUE (ULT) CTN,,,,CIGARETTES > PM > PMP > CIG CARTONS,,,,106.7400,110.75,,,,,,
028200179104,PARLIAMENT 100 RCBX WHITE (LT) FSC CTN,,,,CIGARETTES > PM > PARLIAMENT > CIG CARTONS,,,,94.5800,79.5,,,,,,
028200177506,VIRGINIA SLIMS PP SS 100 BOX FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200198204,VIRGINIA SLIMS PP SS 100 BX GOLD (LT) CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200177803,VIRGINIA SLIMS PP SSLM M 100 BX FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200177407,VIRGINIA SLIMS M 100 BX (FF) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200177209,VIRGINIA SLIMS 100 BX (FF) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200174406,VIRGINIA SLIMS M 100 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200174307,VIRGINIA SLIMS 100 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200173300,VIRGINIA SLIMS 100 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200173409,VIRGINIA SLIMS M 100 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200173508,VIRGINIA SLIMS 120 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200195807,VIRGINIA SLIMS 120 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200173904,VIRGINIA SLIMS M 120 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200195906,VIRGINIA SLIMS M 120 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > VIRGINIA SLIMS > CIG CARTONS,,,,94.5800,97.99,,,,,,
028200309815,L&M 85 BX (FF) FSC CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200309914,L&M 100 BX (FF) FSC CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200310019,L&M 85 BX BLUE (LT) FSC CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200310217,L&M 100 BX BLUE (LT) FSC CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200310316,L&M M 85 BX (FF) FSC CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200310415,L&M M 100 BX (FF) FSC CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200313911,L&M TURKISH BLEND 85 BX CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
028200314017,L&M TURKISH BLEND 100 BX CTN,,,,CIGARETTES > PM > L&M > CIG CARTONS,,,,77.9700,81.5,,,,,,
012000002304,PEPSI 2 LTR,,,,SOFT DRINKS > 2 LTR > PEPSI,,,,20.4000,3.99,,,,,,
070847811244,MONSTER E DRINK GREEN SCR,,,,SOFT DRINKS > MONSTER > 16.OZ,,,,34.5000,4.79,,,,,,
009800000555,KINDER BUENO,,,,CANDY > KINDER,,,,1.2380,1.9,,,,,,
099900625468,BABY RUTH,,,,CANDY,,,,1.2179,1.29,,,,,,
099900100873,BUTTERFINGER,,,,CANDY,,,,1.2178,1.29,,,,,,
099900908363,CRUNCH,,,,CANDY > CRUNCH,,,,1.2178,1.49,,,,,,
017082886927,JACK LINKS TERIYAKI,,,,SNACKS > JACK LINKS,,,,1.1435,1.39,,,,,,
840045201297,ROUGE MANGO 6MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045200665,ROGUE PEPERMINT 3MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045201112,ROGUE APPLE 6 MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045200696,ROUGE PEPERMINT 6MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
